Accountable Manager,Accountable Manager Email,Accountable Manager Phone Number,Address Line 1,Address Line 2,Address Line 3,Agency Email,Agency Name,Agency Phone Number,Cert_No,City,Country ,DBA,DSGN_CODE,Email,Liaison,Liaison Email,Liaison Phone Number,Postal Code,State/Province,Update_Date
"STEPHENS, NATHAN LEE",nate@davisfieldaviation.com,9186824101,1200 SABRE STREET,,,,DAVIS FIELD AVIATION LLC,9186824101,D3FR571X,MUSKOGEE,UNITED STATES,,D3FR,,,,,74403,OK,3/2/2026
"TODD, NATHAN L.",nate@toddcoeaviation.com,8308327571,2317 FM 758,NEW BRAUNFELS MUNICIPAL AIRPORT,,nate@todecoeaviation.com,ALPHA AIRCRAFT SERVICES OF AMERICA INC,8308327571,17LR247B,NEW  BRAUNFELS,UNITED STATES,DBA TODDCOE AIRCRAFT MX,17LR,nate@todecoeaviation.com,"TODD, NATHAN L.",nate@toddcoeaviation.com,8308327571,78130,TX,3/2/2026
"KINNETZ, NEAL",neal.kinnetz@lmco.com,,1801 STATE ROUTE 17C,,,,LOCKHEED MARTIN CORPORATION,,2LMR437M,OWEGO,UNITED STATES,,2LMR,,,,,13827,NY,3/2/2026
"MALDE, NEEL",neel.malde@prattwhitney.com,+44 7810050090,"NISSEN HOUSE, GROVEBURY ROAD",,,,PRATT AND WHITNEY CANADA UK LTD,+44 7789 98175,P26Y236O,LEIGHTON BUZZARD,UNITED KINGDOM,,P26Y,,"MARSHALL, DOMINIC",dominic.marshall@prattwhitney.com,,LU7 4TB,ENG,3/2/2026
"TURNER, NEIL",neil.turner@ge.com,+971586311636,QATAR SCIENCE AND TECHNOLOGY PARK,"AL-GARAFA STREET, AL-RAYAN ROAD",,,GE AVIATION SYSTEMS NORTH AMERICA QSTP-B,+97466908193,8GEY598C,DOHA,QATAR,,8GEY,,"SINGH, SUKHVINDER",sukhvinder.singh@ge.com,,.,,3/2/2026
"VICKSTROM, NEIL",neil.vickstrom@astronics.com,,11241 SE HWY 212,,,neil.vickstrom@astronics.com,PECO INC,5033876455,PO8R930J,CLACKAMAS,UNITED STATES,,PO8R,neil.vickstrom@astronics.com,"VICKSTROM,  NEIL",neil.vickstrom@astronics.com,5033876455,97015,OR,3/2/2026
"WATKINS, NEIL A",neil@reheat.aero,441420594000,UNITS 1 AND 2 RIVERSIDE,OMEGA PARK,,,REHEAT AERO LIMITED,,RHUY491X,ALTON,UNITED KINGDOM,,RHUY,,"HARDING, ANDREW",quality@reheat.aero,,GU34 2UF,ENG,3/2/2026
"ELLIS, NICK",nellis@kelleyinstruments.com,3169457171,16836 SE 120TH STREET,,,,KELLEY INSTRUMENTS INC,3169457171,OP2R065L,NORWICH,UNITED STATES,,OP2R,,"ELLIS, NICK",nellis@kelleyinstruments.com,3169457171,67118,KS,3/2/2026
"URBAN, NOAH",newmoonaviation@gmail.com,,1990 NW BERG DR,,,,NEW MOON AVIATION LLC,,NMAR353E,MADRAS,UNITED STATES,,NMAR,,JULIAN DURAN,newmoonaviation@gmail.com,7754503193,97741,OR,3/2/2026
"SPROUSE, DAVID",nextgenaviation19@gmail.com,,7250 STENNIS AIRPORT RD,,,,NEXTGEN AVIATION KHSA LLC,,2XG2802D,KILN,UNITED STATES,DBA NEXTGEN AVIATION,2XG2,,,,,39556,MS,3/2/2026
"SPROUSE, DAVID",nextgenaviation19@gmail.com,,3650 SENATOR J. BENNET JOHNSON AVE,"CHENNAULT INTL. AIRPORT, T-HANGAR H",,,NEXGEN AVIATION KCWF LLC,,2XG3802D,LAKE CHARLES,UNITED STATES,DBA NEXTGEN AVIATION,2XG3,,,,,70615,LA,3/2/2026
"MEYER, KEVIN E.",ngast@midlands.net>,4026542552,1157 COUNTY ROAD 20,,,,NEBRASKA GAS TURBINE INC,4026542552,NB2R772X,HOOPER,UNITED STATES,,NB2R,,ANDREW STOWELL,,4026542552,68031,NE,3/2/2026
"GITSIS, NIKOS",ngitsis@dorniertechnology.com,,HANGAR 7224 CLARK CIVIL AVIATION CO,CLARK FREEPORT ZONE,,,DORNIER TECHNOLOGY INC,,DTIY478E,PAMPANGA,PHILIPPINES,,DTIY,,,,,2023,,3/2/2026
"EARL, NICHOLAS",nicholas.earl@safrangroup.com,+44 1489 563903,"CONCORDE WAY, SEGENSWORTH NORTH,",,,,SAFARAN HELICOPTER ENGINES UK LIMITED,,8TMY778C,FAREHAM,UNITED KINGDOM,,8TMY,,MICHAEL SHAW,michael.shaw@safrangroup.com,,PO15 5RL,ENG,3/2/2026
"GIMBEL, NICHOLAS",nicholas.gimbel@colheli.com,,14452 ARNDT ROAD NE,AURORA STATE AIRPORT,,bpeters@colheli.com,"COLUMBIA HELICOPTERS, INC",5036781222,CHIR823C,AURORA,UNITED STATES,DBA NONE,CHIR,bpeters@colheli.com,BRANDON PETERS,bpeters@colheli.com,5036781222 EXT. 466,97002,OR,3/2/2026
"GEALL, NICK A",nick.geall@aeromaritime-repair.co.uk,01243-865722,DICKINSON PLACE,SOUTH BERSTED BUSINESS PARK,,,COMPONENT PROCESS AND REPAIR LIMITED,,XCWY660X,BOGNOR REGIS,UNITED KINGDOM,,XCWY,,"COOTER, IAIN",iain.cooter@cprlimited.co.uk,,PO22 9QU,ENG,3/2/2026
"HOLLIS, NICKIE J",nickie.hollis@aa.com,3252835655,2751 AIRPORT BOULEVARD,,,nickie.hollis@aa.com,EAGLE AVIATION SERVICES INC,3252835601,E4GR716J,ABILENE,UNITED STATES,,E4GR,nickie.hollis@aa.com,"WHISLER,  TIM",tim.whisler@aa.com,3252835654,79602,TX,3/2/2026
"PISANO, NICOLAS",nicolas.pisano@xiesa-cn.com,+862933133406,NO.11 BAOSHUI 1 ROAD AIRPORT NEW CI,XIXIAN NEW AREA,,,"XI'AN CEA SAFRAN LANDING SYSTEMS SERVICES CO., LTD",,GECY271E,XI'AN,CHINA,,GECY,,,,,712035,,3/2/2026
"COLMAN, NIGEL",nigel.colman@leonardo.com,,LYSANDER ROAD,,,,LEONARDO UK LIMITED,+44(0)1935702125,6YAY376C,YEOVIL,UNITED KINGDOM,DBA LEONARDO HELICOPTERS,6YAY,,,,,BA20 2YB,ENG,3/2/2026
"LLOMPART, NELSON",nllompart@gatelesis.com,,9371 N.W. 100TH STREET,,,,"GA TELESIS LANDING GEAR SERVICES, LLC",,VQ4R605M,MIAMI,UNITED STATES,"DBA GA TELESIS LANDING
   LANDING GEAR SERVICES
DBA GA TELESIS WHEELS
   WHEELS & BRAKING SYSTEMS",VQ4R,,DAYRON TRILLO,dayron.trillo@gatelesis.com,7863374172,33178,FL,3/2/2026
"LYNN, NIC J",nlynn@neptuneaviation.com,,"3500 AIRPORT ROAD, HANGER 3E",,,dsnyder@neptuneaviation.com,"NEPTUNE AVIATION SERVICES,INC.",4065420606,NTBR983G,ALAMAGORDO,UNITED STATES,,NTBR,dsnyder@neptuneaviation.com,"CLIFFORD, LYNN",clynn@neptuneaviation.com,4065420606,88310,NM,3/2/2026
"LYNN, NICHOLAS",nlynn@neptuneaviation.com,4065420606,4301 CORPORATE WAY,,,nlynn@neptuneaviation.com,NEPTUNE AVIATION SERVICES INC,4065420606,NI6R011N,MISSOULA,UNITED STATES,,NI6R,nlynn@neptuneaviation.com,"LYNN, NICHOLAS",nlynn@neptuneaviation.com,4065420606 EXT. 104,59808,MT,3/2/2026
"MARTIN, NEVIN",nmartin@tiffinaire.com,4194474263,1778  WEST U.S. ROUTE 224,SENECA COUNTY AIRPORT,,,"TIFFIN BUYER, LLC",4194474263,DTXR341D,TIFFIN,UNITED STATES,DBA TIFFIN AIRE,DTXR,,"MARTIN, NEVIN",nmartin@tiffinaire.com,4194474263,44883,OH,3/2/2026
"MCDOWELL, NEIL",nmcdowel@moog.com,01902-397700,VALIANT WAY,,,,MOOG WOLVERHAMPTON LIMITED,01902-397700,DQD4021K,WOLVERHAMPTON,UNITED KINGDOM,"DBA MOOG AIRCRAFT GROUP
   GROUP - WOLVERHAMPTON OPERATIONS",DQD4,,"FENTON, PETER",pfenton@moog.com,,WV9 5GB,ENG,3/2/2026
"NEDERFIELD, NEIL J.",nned@cwaero.com,,19 WRIGHT WAY SUITE 3,ESSEX COUNTY AIRPORT,,,C & W AEROSERVICES INC,,HX1R208K,FAIRFIELD,UNITED STATES,,HX1R,,"NEDERFIELD, SEAN",,9732275750,07004,NJ,3/2/2026
"NICHOL, NATHAN",nnichol@instservalaska.com,9073607614,10101 E. OLD SPANISH TRAIL,UNIT B,,,INSTRUMENT SERVICES INC,,FA4R173M,TUCSON,UNITED STATES,DBA INSTRUMENT SERVICES,FA4R,,"NICHOL, NATHAN",nnichol@instservalaska.com,9073607614,85748,AZ,3/2/2026
"CASTRO, NOE",noe.castro@associates.cbp.dhs.gov,,"2601 HANGAR LANE, BUILDING #32C",,,,AMENTUM SERVICES INC,,4DS4637B,MCALLEN,UNITED STATES,,4DS4,,"LANSFORD, MATTHEW",matthew.k.lansford@associates.cbp.dhs.gov,9566726343,78503,TX,3/2/2026
"CASTRO, NOE",noe.castro@associates.cbp.dhs.gov,,457 #2 SANDAU ROAD,,,,AMENTUM SERVICES INC,2103084862,4DS5637B,SAN ANTONIO,UNITED STATES,,4DS5,,"RODRIGUEZ, RUBEN",ruben.c.rodriguez@cbp.dhs.gov,2103084862,78216,TX,3/2/2026
"NOVAK, LARS T",novak@breeze-eastern.com,9736021130,35 MELANIE LANE,,,,BREEZE-EASTERN LLC,9736021130,BZ7R167O,WHIPPANY,UNITED STATES,,BZ7R,,"NOVAK, LARS T.",lnovak@breeze-eastern.com,9736021130,07981,NJ,3/2/2026
"PAYNE, NICHOLAS",npayne@airbasegse.co.uk,+44 0 1784 415,"HEATHROW LOGISTICS PARK, UNIT 2",BEDFONT ROAD,,,EARTHPOLE LIMITED,+44 0 1784 415,XB5Y198O,FELTHAM,UNITED KINGDOM,DBA AIRBASE GSE,XB5Y,,"PLATO, KEVIN",kplato@airbasegse.co.uk,,TW14 8EE,ENG,3/2/2026
"RICCIO, NICK",nriccio@readingnorthern.com,7173953710,223 WEST APRON DRIVE,,,nriccio@readingnorthern.com,READING JET MAINTENANCE LLC,7173953710,5RJR738B,READING,UNITED STATES,,5RJR,nriccio@readingnorthern.com,"RICCIO, NICK",nriccio@readingjet.com,7173953710,19605,PA,3/2/2026
"HERNANDEZ, ORLANDO",ofernandez@avocet.aero,4075856201,2551 HELLCAT LANE,,,patricksr@avocet.aero,"AVOCET AVIATION SERVICES, LLC",4075856201,6VAR708B,SANFORD,UNITED STATES,,6VAR,patricksr@avocet.aero,,,,32773,FL,3/2/2026
"TOLMAN, JERED",office@precisionmfi.com,,9201 KRAXBERGER RD.,,,,PRECISION METAL FINISHING INC,,P13R413N,CANBY,UNITED STATES,,P13R,,"TOLMAN, JERED",office@precisionmfi.com,5032663184,97013,OR,3/2/2026
"HERNANDEZ, ORLANDO",ohernandez@avocet.aero,,3470 AIRCRAFT DRIVE,,,,AVOCET AVIATION SERVICES LLC.,4075856201,6VAD708B,LAKELAND,UNITED STATES,,6VAD,,,,,33801,FL,3/2/2026
"LAWRENZ, OLAF",olaf.lawrenz@deutscheaircraft.com,+49 (0) 8153 /,JUNKERSSTRASSE 2,,,,DEUTSCHE AIRCRAFT GMBH,,328Y969Y,WESSLING,GERMANY,DBA DAG,328Y,,,,,82234,,3/2/2026
"DAVIS, OLIVER",oliver.davis@viasat.com,7604764743,2426 TOWN GARDEN ROAD,,,,VIASAT INC,,V93R214B,CARLSBAD,UNITED STATES,,V93R,,,,,92009,CA,3/2/2026
"POPPENBERG, OLIVER  JR.",oliverp@friendaircare.com,7242286400,325 AIRPORT ROAD,,,oliverp@friendaircare.com,FRIEND AIRCARE,7242286400,GW1R181K,WASHINGTON,UNITED STATES,,GW1R,oliverp@friendaircare.com,"POPPENBERG, OLIVER JR.",oliverp@friendaircare.com,7242286400,15301,PA,3/2/2026
"OLSEN, LOREN L.",olsenaviationalaska@gmail.com,6123254321,15618 POTOMAC STREET,HANGER #2,,olsenaviationalaska@gmail.com,CARAVAN'S INC,6123254321,F5JR204Y,FOREST LAKE,UNITED STATES,"DBA ISLAND CITY SEAPLANES,
   SEAPLANES, INC.",F5JR,olsenaviationalaska@gmail.com,,,,55025,MN,3/2/2026
"ONNO, PIETERSMA",onon.pietersma@cargoluc.com,35242113289,CARGOLUX MAINTENANCE CENTER,RUE DE LUXEMBOURG,,stephane.kastler@cargolux.com,CARGOLUX AIRLINES INTERNATIONAL S A,+352 4211 1,CISY846C,SANDWEILER,LUXEMBOURG,,CISY,stephane.kastler@cargolux.com,"MEEUS, JOERI",joeri.meeus@cargolux.com,,L-5230,,3/2/2026
"HARRIS, SHAWN",operations@avnresources.com,7046519707,512 DAUNTLESS POINT,,,operations@avnresources.com,CENTERPOINTE AEROSPACE. INC,7046519707,YQHD212Y,SANFORD,UNITED STATES,"DBA ROTOR BLADE REPAIR, INC.",YQHD,operations@avnresources.com,PAUL SOLOMON,paulsolomon@rotorbladerepair.com,4078051138,32771,FL,3/2/2026
"LEYDEN, BRIAN",operations@gulfaerospace.com,8138554838,389 EAST DOUGLAS ROAD,,,,GULF AEROSPACE INC,,TQ4R553M,OLDSMAR,UNITED STATES,,TQ4R,,"LEYDEN, BONNIE L.",operations@gulfaerospace.com,8138554838,34677,FL,3/2/2026
"CAMACHO, ORLANDO GUSTAVO",orlando@bspecialist.com,3057963415,1908 NW 94TH AVENUE,,,orlando@bspecialist.com,BEARING SPECIALIST INC,3057963415,4BSR915B,DORAL,UNITED STATES,,4BSR,orlando@bspecialist.com,"IGLESIAS, LUIS",,7862987509,33172,FL,3/2/2026
"MARTÍN, OSCAR FRANCISCO ZÚÑIGA",oscar.zuniga@ciac.gov.co,+57 315 318 73,AV. CALLE 26 N. 103 - 08 ENTRADA 1,EL DORADO INTERNATIONAL AIRPORT,,,CORPORACION DE LA INDUSTRIA AERONAUTICA COLOMBIANA,+57 1315318738,O32Y396C,BOGOTA D.C.,COLOMBIA,DBA CIAC S.A.,O32Y,,,,,252237,,3/2/2026
"ALVAREZ, JOHN",overhaul@robinsonheli.com,3105390508 EXT. 328,2901 AIRPORT DRIVE,,,,ROBINSON HELICOPTER COMPANY INC,3105390508,YV3R012M,TORRANCE,UNITED STATES,,YV3R,,JOHN ALVAREZ,john.alvarez@robinsonheli.com,3105390508 EXT. 328,90505,CA,3/2/2026
"KI, PAK SANG",pak.ki@digex.com.br,+55 1239043503,AV BRIGADEIRO FARIA LIMA S/N,SÃO JOSÉ DOS CAMPOS - SP - BRASIL,,,DIGEX AIRCRAFT MAINTENANCE LTDA,,2DXY146B,SAO JOSE DOS CAMPOS,BRAZIL,,2DXY,,,,,12227-000,SP,3/2/2026
"VIKLUND, PAR ERIC",par-eric.viklund@usa.gknaerospace.com,,1150 WEST BRADLEY AVENUE,,,,"GKN AEROSPACE, CHEMTRONICS INC",,CI3R424L,EL CAJON,UNITED STATES,,CI3R,,PATRICIA JONES,patricia.jones@usa.gknaerospace.com,6192585157,92020,CA,3/2/2026
"STEPHENS, PA",pas@inflite.co.uk,4401279832000,NORTH HANGAR,AVIATION WAY,,,INFLITE MRO SERVICES LIMITED,4401702348,EGWY725K,SOUTHEND-ON-SEA,UNITED KINGDOM,,EGWY,,"GILKES, DENNIS",dennis.gilkes@inflite-southend.co.uk,,SS2 6UN,ENG,3/2/2026
"WHITE, PATRICK",pat.white@rapcoinc.com,2623672292,445 CARDINAL LANE,,,,RAPCO INC,,NE5R064N,HARTLAND,UNITED STATES,,NE5R,,"FISCHLER, RICHARD",rich.fischler@rapcoinc.com,2623672292,53029,WI,3/2/2026
"CONNELL, PATRICK J",pat@jetyard.com,9283088745,4715 EAST FINANCE WAY UNIT B,,,,JET YARD SOLUTIONS LLC,,7QAD515C,KINGMAN,UNITED STATES,,7QAD,,"BURJAKOWSKY, CONSTANTINE",cburjakowsky@jetyard.com,9287577744,86401,AZ,3/2/2026
"COLGAN, PATRICK S.",patcolgan@capital-aviation.com,7034793419,10660 AVIATION LANE,,,,LEIDOS INCORPORATED,7033433264,8LDR203D,MANASSAS,UNITED STATES,,8LDR,,"PATRICK,  COLGAN",patrick.colgan@leidos.com,,20110,VA,3/2/2026
"BIEBEL, PATRICK",patrick.biebel@mtu.de,,DR. ERNST ZIMMERMANN STRASSE 2,,,,MTU MAINTENANCE BERLIN-BRANDENBURG GMBH,,MT7Y352J,LUDWIGSFELDE,GERMANY,,MT7Y,,,,,D-14974,,3/2/2026
"ST GERMAIN, PATRICK",patrick.stgermain@usa.gknaerospace.com,6826514461,"3405 EAST AIR LANE, BLDG 102",,,,GKN AEROSPACE PHOENIX,,7GPR759D,PHOENIX,UNITED STATES,,7GPR,,,,,85034,AZ,3/2/2026
"BAUMSTARK, PATRIK",patrik_baumstark@beaerospace-systems.com,4945140934,REVALSTRASSE 1,,,patrik.baumstark@collins.com,B/E AEROSPACE SYSTEMS GMBH,(494) 514- 0934,BEAY224E,LÜBECK,GERMANY,,BEAY,patrik.baumstark@collins.com,MALIK ALMAJDALAWI,malik.almajdalawi@collins.com,,23560,,3/2/2026
"DRAPER, PAUL",paul.draper@roush.com,7347797173,12447 LEVAN RD.,,,,ROUSH INDUSTRIES INC,7347797006,J23R273Y,LIVONIA,UNITED STATES,"DBA ROUSH AVIATION
DBA ROUSH TECHNOLOGIES, INC.",J23R,,PAUL DRAPER,paul.draper@roush.com,7347797173,48150,MI,3/2/2026
"ELWOOD, MARK",paul.metalfusion@earthlink.net,6503687692,425 HURLINGAME AVENUE,,,,METAL FUSION INC,,CG3R422L,REDWOOD CITY,UNITED STATES,,CG3R,,"ELWOOD, MARK",mark@metalfusioninc.com,6503687692,94063,CA,3/2/2026
"RIGNEL, PAUL",paul.rignel@parker.com,,2010 WALDREP INDUSTRIAL BOULEVARD,,,,PARKER HANNIFIN CORPORATION,4782754030,A7XR608J,DUBLIN,UNITED STATES,,A7XR,,,,,31021,GA,3/2/2026
"ROBINSON, PAUL",paul.robinson@parker.com,3302836257,1204 MASSILLON ROAD,BUILDING B,,terrance.bilas@parker.com,MEGGITT AIRCRAFT BRAKING SYSTEMS CORPORATION,3307969711,A3ZR709J,AKRON,UNITED STATES,,A3ZR,terrance.bilas@parker.com,"BILAS, TERRENCE A",terrence.bilas@parker.com,3307969711,44306,OH,3/2/2026
"SICHENZIA, PAUL",paul.sichenzia@gov2x.com,6466280144,2300 HORIZON ROAD,ALLIANCE FACILITY,,,VERTEX AEROSPACE LLC,,R29R029O,FORT WORTH,UNITED STATES,"DBA ALLIANCE AVIATION OPERATIONS
   OPERATIONS CENTER",R29R,,,,,76177,TX,3/2/2026
"LEACHKO, PAUL",paul@classicinteriorinc.com,,38585 APOLLO PKWY,,,,CLASSIC INTERIOR COMPLETIONS INC,4409461010,R4GR031Y,WILLOUGHBY,UNITED STATES,,R4GR,,"LEACHKO, PAUL",paul@classicinteriorinc.com,4409461010 EXT. 4,44094,OH,3/2/2026
"LEACHKO, PAUL",paul@classicinteriorinc.com,,4586 PROGRESS AVENUE,,,erin@classicinteriorinc.com,CLASSIC INTERIOR COMPLETIONS INC,2393261759,R4GD031Y,NAPLES,UNITED STATES,,R4GD,erin@classicinteriorinc.com,"LEACHKO,  PAUL",paul@classicinteriorinc.com,4409461010,34104,FL,3/2/2026
"BEAUGE DE LA ROQUE, PAULINE",pauline.beauge-de-la-roque@michelin.com,9802052617,40589 SOUTH STANLY SCHOOL RD,,,,MICHELIN NORTH AMERICA INC,,8M3R683D,NORWOOD,UNITED STATES,,8M3R,,MARIE HILL,marie.hill@michelin.com,7044747727,28128,NC,3/2/2026
"MAY, PAUL R. JR.",paulr.may@acuren.com,7145575844,1305-J EAST ST. GERTRUDE PLACE,,,,ACUREN INSPECTION INC,,OC6R648J,SANTA ANA,UNITED STATES,DBA ORANGE COAST TESTING,OC6R,,,,,92705,CA,3/2/2026
"BERWICK, PAUL",pberwick@unical145.com,6263733640,15132 WEST CAMELBACK ROAD,,,,"UNICAL 145 , LLC",,3GQR759B,GLENDALE,UNITED STATES,DBA UNICAL ARIZONA 145,3GQR,,,,,85340,AZ,3/2/2026
"DAO, PHILLIP",pdao@kgselectronics.com,6265741175 EXT. 119,418A EAST LIVE OAK AVENUE,,,pdao@kgselectronics.com,"GAR ENTERPRISES,  INC",6265741175,K3GR925J,ARCADIA,UNITED STATES,DBA KGS ELECTRONICS,K3GR,pdao@kgselectronics.com,"NGUYEN,ANA",anguyen@kgselectronics.com,6265741175 EXT. 43,91006,CA,3/2/2026
"DENGLER, PHILLIP",pdengler@its.jnj.com,,TRENTON-MERCER AIRPORT,,,,JOHNSON AND JOHNSON,,DQ1R095K,"WEST TRENTON,",UNITED STATES,,DQ1R,,"DENGLER, PHILLIP",pdengler@its.jnj.com,6098837723,08628,NJ,3/2/2026
"CREMIN, DAVID",pdew@straton.com,2033754488,180 SURF AVENUE,,,,STRATON INDUSTRIES,,XTRR859K,STRATFORD,UNITED STATES,,XTRR,,"D'AURIO, LYNN",ldaurio@straton.com,2033754488,06615,CT,3/2/2026
"FUENZALIDA, PEDRO T",pedro@rtfavionics.com,7862713706,8141 NW 74 AVENUE,,,,RTF AVIONICS INC,,RTFR862D,MEDLEY,UNITED STATES,"DBA RTF AVIONICS &
   & ACCESSORIES, INC",RTFR,,PEDRO T FUENZALIDA,rfq@rtfavionics.com,,33166,FL,3/2/2026
"PERSON, PER CARL",per@brunswickaviationservices.com,2074479404,601 HAYDEN CIRCLE,,,,BRUNSWICK AVIATION SERVICES LLC,,9PBR106D,ALLENTOWN,UNITED STATES,,9PBR,,"PERSON, PER",per@brunswickaviationservices.com,2074079404,18109,PA,3/2/2026
"MEINSTER, PIETER U",pete.meinster@empirealrlines.com,8083433757,EMPIRE AEROSPACE,11549 NORTH ATLAS ROAD,,,EMPIRE AIRLINES INC,,COER135A,HAYDEN,UNITED STATES,DBA EMPIRE AEROSPACE,COER,,PETE MEINSTER,pete.meinster@empirealrlines.com,2087553840,83835,ID,3/2/2026
"MARSHALL, PETER",peter.marshall@mt-propellerusa.com,3867367762,1180 AIRPORT TERMINAL DRIVE,,,,MT-PROPELLER USA INC,,Q4MR908Y,DELAND,UNITED STATES,,Q4MR,,"MARSHALL, PETER",peter.marshall@mt-propellerusa.com,3867367762,32724,FL,3/2/2026
"MULLER, PETER",peter.muller@ngc.com,8187153850,21240 BURBANK BOULEVARD,,,vicky.sethi@ngc.com,NORTHROP GRUMMAN SYSTEMS CORPORATION,8187152286,BP4R084M,WOODLAND HILLS,UNITED STATES,,BP4R,vicky.sethi@ngc.com,KELLIE SUTHERLAND,kellie.sutherland@ngc.com,8187156726,91367,CA,3/2/2026
"SISTARE, PETER",peter.sistare@cats-mro.com,8558472287,238 AIRPORT RD.,,,peter.sistare@cats-mro.com,CAROLINA AVIATION TECHNICAL SERVICES LLC,7049959943,68CR056C,STATESVILLE,UNITED STATES,,68CR,peter.sistare@cats-mro.com,"SISTARE, PETER JOHN",peter.sistare@cats-mro.com,8558472287 EXT. 101,28677,NC,3/2/2026
"VANDOLZER, PETER",peter.vandolzer@standardaero.com,2812337800,17250 CHANUTE ROAD,,,,"STANDARDAERO BUSINESS AVIATION SERVICES, LLC",2812307800,XB1R606K,HOUSTON,UNITED STATES,,XB1R,,"THOMAS, CARL",carl.thomas@standardaero.com,2812307815,77032,TX,3/2/2026
"KJELDSEN, PETER",peterk@lekiaviation.com,9549181442,14251 NW 4TH ST,,,,25+ REPAIR CENTER INC,,25LR519D,SUNRISE,UNITED STATES,DBA LEKI TECH,25LR,,ALEXANDER GONZOLEZ,alexanderg@lekitech.com,9547491503,33325,FL,3/2/2026
"MIETKE, PETER OSTERGAARD",petero@lekiaviation.com,+45 40899552,CHICHESTER BUSINESS PARK,CITY FIELDS WAY,,kareng@lekitech.com,25 REPAIR CENTRE LIMITED,+44 1243 75554,25RY339C,TANGMERE,UNITED KINGDOM,,25RY,kareng@lekitech.com,,,,PO20 2FT,ENG,3/2/2026
"GALLAGHER, PATRICK J.",pgallagher@nffavionics.com,7243789454,115 CORPORATION DRIVE,,,pgallagher@nffavionics.com,NFF AVIONICS SERVICES INC,7243789454,N01R648Y,ALIQUIPPA,UNITED STATES,DBA NFF AVIATION SERVICES,N01R,pgallagher@nffavionics.com,PATRICK J. GALLAGHER,pgallagher@nffavionics.com,7243789454 EXT. 309,15001,PA,3/2/2026
"MIHOLOVICH, PHILLIP",phil.m@cla.aero,2072176055,40 WYOMING AVE,,,,"C&L AEROSPACE HOLDINGS, LLC",,J2SR196J,BANGOR,UNITED STATES,DBA C&L AVIATION SERVICES,J2SR,,DEREK LANEY,derek.l@cla.aero,2072176057,04401,ME,3/2/2026
"RANDELL, PHILIP",phil.randell@worldaero.co.uk,44-1444-243700,"UNIT 24, MID SUSSEX BUSINESS PARK",FOLDERS LANE EAST,,hugh.chalkley@worldaero.co.uk,WORLD AERO LTD,44-1444-243700,8WOY771C,DITCHLING COMMON,UNITED KINGDOM,,8WOY,hugh.chalkley@worldaero.co.uk,"CHALKLEY, HUGH",hugh.chalkley@worldaero.co.uk,1444243700,BN6 8SE,ENG,3/2/2026
"STRAUB, PHIL",phil.straub@garmin.com,9133978200 EXT. 1396,1200 E. 151ST STREET,,,,GARMIN INTERNATIONAL INC,,G6XR582Y,OLATHE,UNITED STATES,,G6XR,,"KOENIG, DAVID",david.koenig@garmin.com,9134402642,66062,KS,3/2/2026
"TOMLINSON, RALPH E.",phil@tavionics.com,2399366969,521 DANLEY DRIVE,PAGE FIELD,,ralph@tavionics.com,TOMLINSON AVIONICS OF FLORIDA INC,2399366969,V6TR097X,FORT MYERS,UNITED STATES,,V6TR,ralph@tavionics.com,"TOMLINSON,  RALPH EDWARD",ralph@tavionics.com,2399366969,33907,FL,3/2/2026
"CHIVILY, PHILIP",philip.chivily@whipactsys.com,9735606604,110 ALGONQUIN PARKWAY,,,,WHIPPANY ACTUATION SYSTEMS LLC,,7TGR214C,WHIPPANY,UNITED STATES,,7TGR,,PHILIP CHIVILY,philip.chivily@whipactsys.com,9735606604,07981,NJ,3/2/2026
"GLASGOW, PHILIP",philip.glasgow@centuryhelicopters.com,,2001 AIRWAY AVENUE,,,philip.glasgow@centuryhelicopters.com,CENTURY HELICOPTERS INC,9704846804,PN5R125N,FORT COLLINS,UNITED STATES,,PN5R,philip.glasgow@centuryhelicopters.com,PHILIP GLASGOW,philip.glasgow@centuryhelicopters.com,9704846840,80524,CO,3/2/2026
"SUNG, PHILIP PHUI GUAN",philip.sung@auxitrolweston.com,(65) 6546 7648,30 LOYANG WAY #06-06,,,joey.mejia@auxitrolweston.com,AUXITROL WESTON SINGAPORE PTE. LTD.,(65) 6546 7648,LQ7Y472Y,SINGAPORE,SINGAPORE,,LQ7Y,joey.mejia@auxitrolweston.com,"MEJIA, JOEY V.",joey.mejia@auxitrolweston.com,,508769,,3/2/2026
"WOLFORD, PHILLIP",phillipw@jetairinc.com,3192481200,1801 S. RIVERSIDE DR.,,,,JET AIR INC,3192481200,I2JR069B,IOWA CITY,UNITED STATES,"DBA JET AIR, INC. - IOW",I2JR,,"MARTINEZ, ALEC",alecm@jetairinc.com,3192481200,52246,IA,3/2/2026
"NETIK, DAVID",phoenixturbine@aol.com,9704950295,204 N. LINK LN. #A-4,,,phoenixturbine@aol.com,"PHOENIX TURBINE OVERHAUL AND REPAIR, LLC.",9704950295,N3KR215O,FORT COLLINS,UNITED STATES,DBA NONE,N3KR,phoenixturbine@aol.com,"NETIK, DAVID W",phoenixturbine@aol.com,9704950295,80524,CO,3/2/2026
